Real,Imag
     1352,    -1046
     1352,    -1034
     1354,    -1027
     1358,    -1018
     1357,    -1009
     1358,    -1004
     1358,     -993
     1360,     -979
     1368,     -976
     1364,     -969
     1366,     -958
     1369,     -949
     1377,     -937
     1370,     -945
     1373,     -925
     1378,     -918
     1377,     -905
     1379,     -896
     1379,     -892
     1378,     -883
     1381,     -868
     1382,     -866
     1386,     -862
     1385,     -849
     1390,     -844
     1387,     -832
     1390,     -829
     1390,     -821
     1394,     -811
     1395,     -805
     1398,     -795
     1399,     -780
     1398,     -781
     1401,     -779
     1393,     -761
     1395,     -759
     1403,     -747
     1403,     -745
     1402,     -734
     1404,     -725
     1408,     -717
     1409,     -711
     1411,     -703
     1409,     -697
     1411,     -688
     1415,     -687
     1411,     -673
     1421,     -665
     1416,     -659
     1411,     -655
     1416,     -644
     1417,     -640
     1418,     -630
     1414,     -624
     1423,     -604
     1423,     -608
     1418,     -599
     1425,     -595
     1423,     -586
     1423,     -579
     1427,     -571
     1426,     -569
     1426,     -556
     1425,     -547
     1427,     -537
     1431,     -536
     1431,     -531
     1429,     -523
     1433,     -518
     1433,     -508
     1435,     -504
     1435,     -497
     1438,     -485
     1437,     -484
     1441,     -473
     1433,     -471
     1436,     -456
     1434,     -451
     1441,     -447
     1439,     -434
     1444,     -434
     1436,     -423
     1442,     -418
     1443,     -413
     1453,     -404
     1429,     -400
     1438,     -394
     1445,     -387
     1446,     -378
     1446,     -371
     1444,     -366
     1444,     -357
     1450,     -356
     1447,     -349
     1444,     -340
     1448,     -333
     1446,     -325
     1449,     -320
     1449,     -312
     1448,     -303
     1444,     -299
     1449,     -288
     1451,     -281
     1446,     -283
     1454,     -272
     1448,     -263
     1453,     -260
     1454,     -253
     1455,     -246
     1454,     -233
     1454,     -235
     1456,     -225
     1450,     -218
     1456,     -213
     1456,     -207
     1458,     -204
     1452,     -191
     1456,     -184
     1456,     -180
     1450,     -173
     1456,     -166
     1454,     -162
     1460,     -153
     1452,     -145
     1455,     -141
     1462,     -142
     1439,     -129
     1454,     -122
     1459,     -114
     1459,     -106
     1456,     -103
     1456,      -94
     1456,      -90
     1460,      -87
     1459,      -74
     1455,      -68
     1457,      -72
     1458,      -60
     1456,      -51
     1462,      -47
     1458,      -36
     1458,      -37
     1455,      -26
     1456,      -15
     1456,      -12
     1453,       -5
     1457,        0
     1455,        3
     1458,       14
     1458,       23
     1457,       26
     1457,       33
     1456,       38
     1453,       46
     1456,       51
     1455,       59
     1451,       67
     1462,       68
     1458,       74
     1454,       80
     1458,       90
     1457,      100
     1456,      103
     1453,      106
     1454,      113
     1455,      120
     1439,      132
     1465,      137
     1458,      141
     1453,      146
     1459,      153
     1454,      160
     1453,      164
     1454,      174
     1455,      180
     1455,      184
     1450,      187
     1461,      198
     1456,      207
     1461,      213
     1453,      219
     1451,      224
     1453,      236
     1450,      242
     1458,      243
     1455,      251
     1452,      259
     1449,      261
     1450,      263
     1456,      279
     1452,      286
     1449,      290
     1448,      299
     1451,      305
     1448,      311
     1442,      317
     1447,      326
     1451,      332
     1445,      339
     1445,      348
     1446,      349
     1442,      355
     1446,      365
     1444,      376
     1449,      377
     1440,      385
     1442,      388
     1432,      402
     1452,      401
     1445,      412
     1442,      418
     1441,      423
     1438,      435
     1438,      438
     1437,      443
     1436,      451
     1436,      457
     1441,      465
     1443,      475
     1439,      486
     1432,      488
     1438,      499
     1432,      505
     1432,      508
     1431,      518
     1438,      525
     1431,      531
     1428,      534
     1427,      536
     1424,      547
     1426,      554
     1423,      563
     1425,      569
     1425,      581
     1425,      585
     1422,      594
     1426,      599
     1422,      607
     1427,      604
     1423,      624
     1418,      626
     1417,      640
     1416,      645
     1412,      653
     1419,      657
     1414,      669
     1411,      672
     1413,      679
     1411,      690
     1410,      695
     1410,      699
     1408,      708
     1411,      719
     1404,      726
     1402,      732
     1404,      744
     1403,      748
     1397,      753
     1392,      761
     1400,      776
     1400,      781
     1400,      782
     1395,      792
     1394,      803
     1391,      807
     1389,      818
     1391,      827
     1389,      834
     1390,      844
     1381,      847
     1384,      863
     1387,      866
     1383,      872
     1384,      881
     1379,      892
     1379,      899
     1373,      911
     1377,      915
     1372,      922
     1368,      940
     1371,      934
     1368,      949
     1365,      961
     1367,      964
     1362,      978
     1361,      986
     1359,      994
     1362,      998
     1357,     1008
     1356,     1019
     1354,     1025
     1350,     1035
     1347,     1045
     1350,     1052
     1345,     1063
     1345,     1072
     1336,     1084
     1341,     1085
     1332,     1097
     1333,     1108
     1334,     1121
     1332,     1124
     1336,     1141
     1335,     1150
     1323,     1162
     1333,     1164
     1325,     1173
     1320,     1183
     1321,     1196
     1319,     1200
     1318,     1222
     1309,     1223
     1308,     1232
     1306,     1244
     1306,     1254
     1304,     1262
     1298,     1270
     1296,     1282
     1296,     1292
     1291,     1302
     1287,     1316
     1289,     1328
     1285,     1332
     1286,     1342
     1278,     1354
     1271,     1365
     1274,     1379
     1265,     1391
     1268,     1406
     1263,     1410
     1256,     1424
     1261,     1431
     1253,     1446
     1251,     1454
     1249,     1466
     1252,     1476
     1243,     1486
     1245,     1501
     1238,     1514
     1232,     1529
     1226,     1533
     1229,     1551
     1223,     1567
     1225,     1573
     1216,     1591
     1211,     1596
     1210,     1612
     1208,     1625
     1205,     1637
     1198,     1645
     1194,     1663
     1189,     1675
     1188,     1688
     1180,     1705
     1177,     1717
     1176,     1725
     1172,     1742
     1164,     1760
     1159,     1776
     1160,     1789
     1151,     1801
     1150,     1774
     1141,     1818
     1136,     1847
     1130,     1858
     1128,     1872
     1120,     1890
     1111,     1906
     1113,     1915
     1108,     1932
     1100,     1950
     1098,     1966
     1093,     1984
     1088,     2000
     1078,     2013
     1070,     2031
     1065,     2049
     1055,     2062
     1055,     2085
     1048,     2104
     1037,     2118
     1031,     2136
     1036,     2151
     1024,     2176
     1019,     2192
     1015,     2215
     1003,     2229
     1003,     2246
      987,     2269
      983,     2294
      971,     2306
      970,     2327
      951,     2344
      953,     2373
      941,     2391
      925,     2412
      924,     2433
      914,     2457
      906,     2480
      895,     2502
      881,     2529
      880,     2554
      868,     2577
      855,     2600
      853,     2622
      836,     2654
      827,     2674
      818,     2703
      805,     2724
      799,     2754
      783,     2782
      775,     2807
      758,     2837
      753,     2868
      735,     2900
      719,     2928
      712,     2961
      692,     2989
      680,     3024
      663,     3058
      651,     3094
      639,     3126
      627,     3162
      599,     3190
      590,     3234
      561,     3269
      552,     3307
      532,     3346
      517,     3388
      495,     3428
      475,     3467
      456,     3518
      431,     3553
      427,     3617
      399,     3659
      372,     3706
      345,     3755
      323,     3808
      301,     3853
      274,     3907
      245,     3964
      214,     4029
      187,     4086
      157,     4149
      129,     4214
       97,     4283
       59,     4345
       22,     4415
      -16,     4489
      -50,     4572
      -92,     4649
     -131,     4730
     -177,     4822
     -226,     4910
     -271,     5001
     -319,     5103
     -376,     5207
     -422,     5314
     -490,     5428
     -551,     5549
     -620,     5676
     -690,     5809
     -758,     5946
     -838,     6095
     -912,     6256
    -1015,     6422
    -1104,     6606
    -1201,     6800
    -1311,     7005
    -1436,     7225
    -1560,     7466
    -1701,     7725
    -1858,     8005
    -2029,     8305
    -2176,     8660
    -2389,     9026
    -2610,     9429
    -2859,     9887
    -3135,    10393
    -3449,    10970
    -3805,    11622
    -4208,    12376
    -4691,    13250
    -5250,    14278
    -5916,    15530
    -6746,    17004
    -7756,    18859
    -9055,    21230
   -10773,    24359
   -13158,    28706
   -16686,    35134
   -22444,    45616
   -33531,    65790
   -63724,   120713
  -471263,   862032
    91517,  -161648
    42572,   -72619
    28097,   -46275
    21155,   -33640
    17093,   -26229
    14392,   -21333
    12496,   -17875
    11081,   -15284
     9984,   -13282
     9110,   -11683
     8389,   -10380
     7795,    -9284
     7295,    -8360
     6859,    -7572
     6481,    -6879
     6155,    -6275
     5868,    -5737
     5609,    -5257
     5372,    -4824
     5163,    -4439
     4972,    -4085
     4799,    -3762
     4634,    -3455
     4492,    -3188
     4347,    -2935
     4228,    -2696
     4115,    -2475
     3999,    -2267
     3892,    -2069
     3794,    -1886
     3703,    -1718
     3613,    -1552
     3535,    -1391
     3457,    -1245
     3379,    -1094
     3305,     -962
     3235,     -829
     3170,     -703
     3107,     -580
     3040,     -466
     2983,     -346
     2927,     -245
     2868,     -138
     2816,      -35
     2764,       65
     2709,      166
     2663,      266
     2609,      358
     2561,      451
     2511,      540
     2473,      627
     2409,      722
     2366,      804
     2320,      891
     2277,      976
     2229,     1062
     2188,     1144
     2137,     1221
     2099,     1310
     2044,     1384
     2001,     1466
     1959,     1546
     1908,     1631
     1872,     1704
     1822,     1785
     1772,     1870
     1720,     1949
     1678,     2033
     1630,     2114
     1574,     2195
     1531,     2283
     1479,     2362
     1422,     2451
     1368,     2529
     1313,     2619
     1257,     2706
     1201,     2788
     1136,     2883
     1083,     2979
     1018,     3068
      950,     3167
      880,     3269
      816,     3373
      742,     3464
      664,     3564
      589,     3673
      507,     3784
      422,     3894
      337,     4015
      243,     4131
      151,     4258
       43,     4386
      -60,     4516
     -165,     4649
     -287,     4792
     -405,     4941
     -537,     5096
     -677,     5254
     -825,     5430
     -974,     5602
    -1143,     5787
    -1323,     5981
    -1485,     6191
    -1696,     6407
    -1910,     6640
    -2145,     6885
    -2398,     7143
    -2668,     7421
    -2959,     7720
    -3286,     8040
    -3632,     8388
    -4021,     8762
    -4441,     9174
    -4911,     9625
    -5435,    10115
    -6019,    10666
    -6680,    11277
    -7430,    11964
    -8290,    12737
    -9277,    13625
   -10431,    14651
   -11794,    15848
   -13432,    17289
   -15422,    19002
   -17904,    21127
   -21076,    23832
   -25269,    27378
   -31063,    32252
   -39585,    39394
   -53328,    50845
   -79150,    72304
  -145409,   127203
  -685229,   573874
   274595,  -220065
   118403,   -90752
    77091,   -56472
    58021,   -40592
    47058,   -31416
    39955,   -25422
    34981,   -21191
    31313,   -18040
    28503,   -15591
    26283,   -13633
    24521,   -12020
    23047,   -10674
    21832,    -9520
    20801,    -8526
    19929,    -7644
    19182,    -6863
    18539,    -6167
    17986,    -5529
    17502,    -4951
    17085,    -4416
    16723,    -3910
    16417,    -3449
    16149,    -3008
    15920,    -2589
    15731,    -2191
    15575,    -1800
    15447,    -1426
    15354,    -1063
    15287,     -708
    15244,     -351
